misc/nupdates,misc/total_timesteps,fps,eprewmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,80640,196,11.706789,0.55,0.45,16.499575844425706,1.4189385175704956,-0.0009460319677600637,24.473511600494383
40,157440,202,12.681953,0.58,0.42,16.60549549213797,1.4189385175704956,-0.0006228102276509162,21.575791546702384
60,234240,206,12.149808,0.568,0.432,16.61490118022263,1.4189385175704956,-0.000646961442544125,22.244485542178154
80,311040,194,9.734329,0.504,0.496,15.882880366012454,1.4189385175704956,-0.0008629312520497479,27.223088273406027
100,387840,180,10.172691,0.516,0.484,16.219780809570103,1.4189385175704956,-0.0007173053716542199,26.655928194522858
120,464640,172,10.638578,0.528,0.472,15.852972462505102,1.4189385175704956,-0.0012837866059271618,25.28291497528553
140,541440,167,10.564318,0.522,0.478,16.257389167420566,1.4189385175704956,-0.00033292469452135266,24.505309522151947
160,618240,163,11.648291,0.554,0.446,16.144910030771047,1.4189385175704956,-0.000601718969483045,23.603064435720444
180,695040,161,11.941438,0.562,0.438,16.47618087480962,1.4189385175704956,-0.0007542733252194012,25.388934552669525
