misc/nupdates,misc/total_timesteps,fps,sim_time,train_time,eprewmean,epcostmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,loss/cost_value_loss
20,80640,414,139.24621510505676,55.20921063423157,28.692905,0.282787536,0.998,0.002,23.851726737933234,1.4189385175704956,-0.0004728294823507895,0.1362007161253132,0.022485229256562888
40,157440,405,279.82890820503235,108.44150972366333,29.018503,0.259740592,1.0,0.0,23.55405790113192,1.4189385175704956,-0.0025363806606037544,0.12853112277807668,0.02149853395312675
60,234240,404,417.722101688385,161.1272943019867,29.000149,0.27560296800000006,1.0,0.0,22.628253049376422,1.4189385175704956,-0.0028897406518808566,0.14709192999289372,0.004914652923434915
80,311040,402,556.7643754482269,214.6798906326294,28.937557,0.398781564,0.996,0.004,22.413395270418377,1.4189385175704956,-0.0018405380251351744,0.17306203492917122,0.02040049791394267
100,387840,402,693.4624671936035,267.9875862598419,28.904114,0.28605702599999994,1.0,0.0,21.49050906180963,1.4189385175704956,-0.001398444785263564,0.1415886938222684,0.021947026726411422
120,464640,399,839.647748708725,322.30801820755005,28.860289,0.33007611200000003,0.998,0.002,21.779320764604957,1.4189385175704956,-0.0018845509592210874,0.1584312706720084,0.022226078448147744
140,541440,399,978.9718842506409,375.14609003067017,29.15689,0.42667513599999995,0.996,0.004,21.184537837808953,1.4189385175704956,-0.002102956251474097,0.5312887932406738,0.05299797195548308
160,618240,400,1112.2468478679657,428.0761499404907,28.792988,0.517430358,0.996,0.004,21.14125162271969,1.4189385175704956,-0.0037109304388650345,0.14792720403056592,0.03894804149895208
180,695040,401,1246.4311327934265,481.32534432411194,28.58048,0.46493663199999996,0.992,0.008,20.36961582368426,1.4189385175704956,-0.001559978122531902,0.972457865200704,0.06550818754330975
200,771840,399,1395.1651957035065,536.2497718334198,28.581589,0.464643368,0.99,0.01,20.12987657447532,1.4189385175704956,-0.0037693809734264507,0.11208008282119408,0.03417017963583931
220,848640,396,1546.2338848114014,591.2537617683411,28.191547,0.5506754660000002,0.984,0.016,20.06991256668791,1.4189385175704956,-0.0006014289356244262,1.5737648827489465,0.04966436252143467
240,925440,396,1687.6194114685059,645.4095520973206,28.677437,0.45096661600000004,0.99,0.01,19.83461207809299,1.4189385175704956,-0.00287366661359556,0.15743303539929912,0.047617639106465506
260,1002240,394,1837.2554411888123,699.7704288959503,28.632946,0.54410966,0.992,0.008,19.29748795806803,1.4189385175704956,-0.0039204099841299465,0.1241271039703861,0.07680727548140567
280,1079040,394,1979.9484853744507,753.5939543247223,28.638617,0.468602428,0.992,0.008,19.491145316457377,1.4189385175704956,-0.002750163391465321,0.08684571334160865,0.042917401374143085
300,1155840,393,2124.4473576545715,807.7393064498901,28.094477,0.611943144,0.972,0.028,19.197211234159766,1.4189385175704956,-0.0004048780756420456,4.027349867194426,0.04272885762911756
320,1232640,394,2261.630306005478,861.3621850013733,28.47372,0.5750535240000001,0.986,0.014,18.860147866129875,1.4189385175704956,-0.0011130913268516452,2.4363707946264186,0.031673647067509594
340,1309440,394,2400.867454767227,916.3218216896057,28.783493,0.5345711379999999,0.998,0.002,18.543565123489127,1.4189385175704956,-0.001992487834286294,0.08766899760812522,0.0646629469425534
360,1386240,393,2552.21142911911,971.4110157489777,28.695879,0.587778734,0.994,0.006,18.56318417407945,1.4189385175704956,-0.0020552988135023043,0.11112042122986168,0.06658481585473056
380,1463040,392,2694.951000213623,1025.8200685977936,28.419212,0.5712853259999999,0.986,0.014,18.684610185325145,1.4189385175704956,-0.0009601650090189651,1.097347556904424,0.05314595499366988
400,1539840,391,2846.8000814914703,1081.4051082134247,28.566082,0.576967808,0.988,0.012,18.568918465971947,1.4189385175704956,-0.0015863577002164675,0.06867581491242163,0.0848643547440588
420,1616640,391,2989.433224439621,1135.3806912899017,28.577372,0.586281398,0.99,0.01,18.778641731463374,1.4189385175704956,-0.001806681642847252,2.575587718753377,0.06628508908906952
440,1693440,392,3123.1245908737183,1189.4890975952148,28.629818,0.6069780880000001,0.992,0.008,18.33371867018007,1.4189385175704956,-0.002382902769750217,0.07756139172124676,0.07151110132108443
460,1770240,393,3253.32945728302,1242.2161786556244,28.476238,0.593718606,0.99,0.01,18.618211258232595,1.4189385175704956,-0.00103896538803383,1.5520848564745393,0.05615290736750467
480,1847040,393,3393.966171503067,1295.9640593528748,28.601364,0.5580088440000001,0.986,0.014,18.55247756874375,1.4189385175704956,-0.001782607490895316,0.08527789592626504,0.060769466163765176
500,1923840,392,3540.575078725815,1350.9726576805115,28.76092,0.617375176,0.992,0.008,18.410255671398716,1.4189385175704956,-0.0014085668633924797,0.09406110589625313,0.05876232637965586
520,2000640,393,3680.554645061493,1404.6138033866882,27.909187,0.666979878,0.976,0.024,18.116127248086034,1.4189385175704956,0.0006678894627839327,3.117916982562747,0.06759068319952348
540,2077440,393,3822.1728951931,1458.1740469932556,28.317537,0.595324888,0.982,0.018,18.567160193122923,1.4189385175704956,-0.001355569223233033,0.08585713449283502,0.07045438223140081
560,2154240,392,3973.4390439987183,1513.6419515609741,28.471035,0.6313396439999999,0.992,0.008,18.44367864522338,1.4189385175704956,-0.002071059244735807,0.07830866283038632,0.05525515169429127
580,2231040,391,4125.425935745239,1570.451071023941,28.472406,0.533719998,0.988,0.012,18.09357141736895,1.4189385175704956,-0.0013937328037172847,0.9538587509596255,0.07382704303454375
600,2307840,390,4276.505139827728,1625.9512102603912,27.993443,0.667145018,0.978,0.022,18.310534497343003,1.4189385175704956,-0.002091527385346126,1.35151004762738,0.041497312811407026
620,2384640,390,4418.031975269318,1681.2158300876617,28.392832,0.652990016,0.99,0.01,18.134454872250558,1.4189385175704956,-0.002232105447910726,0.0710170372040011,0.033898846028751
640,2461440,389,4573.371146678925,1737.8653707504272,28.448563,0.5514087959999999,0.99,0.01,18.08262741132453,1.4189385175704956,-0.0017567771283211187,0.05565857604960911,0.06880632347674691
660,2538240,389,4714.524137735367,1793.2818396091461,28.124779,0.6009658520000001,0.98,0.02,17.777794429782777,1.4189385175704956,-0.0007408960838802159,2.5491964975139125,0.034752350166672843
680,2615040,389,4853.949809551239,1847.806164264679,28.310654,0.590570424,0.986,0.014,18.1973637380749,1.4189385175704956,-0.00129108728870051,0.8718832648475654,0.0670533698197687
700,2691840,389,5001.860394239426,1902.645052433014,28.3736,0.620437736,0.984,0.016,18.284713992200793,1.4189385175704956,-0.0010517001210246235,1.0325960067508277,0.06837219718145207
720,2768640,389,5142.67724442482,1956.1330845355988,28.488514,0.671375244,0.986,0.014,18.141217511080207,1.4189385175704956,-0.0009101525043661241,2.6751494637108406,0.0905463323033473
740,2845440,389,5293.025095939636,2011.3404223918915,28.76855,0.634645548,0.99,0.01,18.20906953891553,1.4189385175704956,-0.00011415447515901178,1.250428243278293,0.060044791438849644
760,2922240,389,5435.594094514847,2066.07443857193,28.326761,0.5767554520000001,0.982,0.018,18.200308566592632,1.4189385175704956,-0.0011775631650380093,1.398757439813926,0.058356623996951386
780,2999040,388,5582.891744375229,2121.3610351085663,28.401648,0.5793877279999999,0.988,0.012,18.040823809601367,1.4189385175704956,-0.00145395024028403,0.05977061695593875,0.032859159753570566
800,3075840,389,5719.391301393509,2175.3090512752533,28.551521,0.563565114,0.988,0.012,18.122123388979585,1.4189385175704956,-0.0022824050960480236,0.0626339782436844,0.05384258895428502
820,3152640,389,5848.864531755447,2228.4093828201294,28.658758,0.623138372,0.99,0.01,18.23434597530216,1.4189385175704956,-0.00129737947427202,1.3986968059791252,0.047436904521600806
840,3229440,390,5982.3957414627075,2281.498035430908,28.867872,0.636945264,0.998,0.002,18.269424926070496,1.4189385175704956,-0.0018100693288943149,0.0537432989658555,0.06016028862504754
860,3306240,390,6120.091918230057,2334.768318414688,28.545744,0.57576226,0.986,0.014,18.13694852258265,1.4189385175704956,-0.0008352825796464458,3.8493860065587797,0.06320296560443239
880,3383040,390,6262.761043310165,2388.5786402225494,28.615864,0.52955806,0.99,0.01,17.98936821463704,1.4189385175704956,-0.0012204568804008887,0.7449879074993078,0.031258833754691295
900,3459840,390,6403.983935117722,2441.8203270435333,28.511414,0.5243180119999999,0.99,0.01,18.224699415035545,1.4189385175704956,-0.0009667894697940937,0.06277932977245655,0.07489885664181202
920,3536640,390,6548.240247488022,2496.4201476573944,28.57772,0.658446386,0.988,0.012,17.732939591892062,1.4189385175704956,-0.0013427388228592462,0.8292979739781003,0.04616761244178633
940,3613440,390,6686.337883472443,2550.6280524730682,28.60541,0.6568481919999999,0.986,0.014,18.02913657925278,1.4189385175704956,-0.0014137054395177984,0.06663767521677073,0.06525573138205801
