misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,80640,204,-0.21630982,1.4189385175704956,-0.0016011810745112597,7.925033258926123
40,157440,201,11.979968,1.4189385175704956,0.00024833847247691666,9.89792366065085
60,234240,202,19.15031,1.4189385175704956,0.0026621848599461375,8.467880125530064
80,311040,202,22.161043,1.4189385175704956,0.0020888394759822405,9.673314067348837
100,387840,203,22.750832,1.4189385175704956,0.00018187073001172394,9.599658331461251
120,464640,202,24.166546,1.4189385175704956,0.0007879073076765053,8.938493721047417
140,541440,202,24.456787,1.4189385175704956,-0.00013951651199022307,8.571205884986558
160,618240,202,25.38585,1.4189385175704956,-7.364790872088633e-05,7.416476717265323
180,695040,202,25.42709,1.4189385175704956,0.0010947476950605051,6.83581492054509
200,771840,201,26.520636,1.4189385175704956,-0.0002418779200525023,2.906422025419306
220,848640,201,25.742348,1.4189385175704956,-0.0001163004260888556,5.153283402498346
240,925440,203,26.726332,1.4189385175704956,0.0006430340195947793,4.537963441706961
260,1002240,209,26.379778,1.4189385175704956,0.0010485131671885029,5.530588020809228
280,1079040,214,26.474186,1.4189385175704956,0.002076677393051796,8.243640209216391
300,1155840,218,27.361158,1.4189385175704956,0.001757175732336691,2.2823712623590837
320,1232640,223,27.443275,1.4189385175704956,0.00105138902872568,3.032057560229441
340,1309440,226,27.770243,1.4189385175704956,0.0011164760882820702,0.06434849579818547
360,1386240,230,27.994946,1.4189385175704956,0.0007355138455750421,3.626481047051493
380,1463040,233,27.746832,1.4189385175704956,0.0011945886333705857,4.431172097189119
400,1539840,235,28.185703,1.4189385175704956,0.0006308928914222633,0.2990672970016021
420,1616640,238,27.902607,1.4189385175704956,0.002140884862092207,1.9977096693881322
440,1693440,240,28.06012,1.4189385175704956,0.0020547959011310013,2.0737479915173025
460,1770240,243,28.260675,1.4189385175704956,0.00013661039556609467,0.18203450213477482
480,1847040,245,28.31779,1.4189385175704956,0.001931472384603694,0.041118477610871194
500,1923840,247,28.293983,1.4189385175704956,0.00013917275434778277,0.7425120461703045
520,2000640,250,28.336596,1.4189385175704956,0.0012078726467734668,1.5521059849925223
540,2077440,252,27.872662,1.4189385175704956,0.0025349924555484902,1.6237113433715422
560,2154240,253,28.022455,1.4189385175704956,0.0019071848375460832,1.0719354609551375
580,2231040,255,28.402395,1.4189385175704956,0.002192712199757807,2.705052554132999
600,2307840,257,28.452429,1.4189385175704956,0.00015448621170435217,0.998031659690605
620,2384640,259,28.30014,1.4189385175704956,0.0016638920325476648,4.0649225790723
640,2461440,260,28.917593,1.4189385175704956,0.005276367176702479,0.028244232707947958
660,2538240,262,28.439829,1.4189385175704956,0.0034936739451950417,2.528650935312908
680,2615040,263,28.199715,1.4189385175704956,0.0035285689700685907,0.02297684990480775
700,2691840,264,28.48719,1.4189385175704956,0.0020862580880930182,0.9111380100803217
720,2768640,266,28.627201,1.4189385175704956,0.0021237105924228673,2.398320381309895
740,2845440,267,28.335981,1.4189385175704956,0.002283047504715796,0.360144152524299
760,2922240,268,28.673798,1.4189385175704956,0.0013119545206791371,0.030605766460939775
780,2999040,269,28.872253,1.4189385175704956,0.0015450660495844204,0.0455872568563791
800,3075840,270,28.377838,1.4189385175704956,0.0035206256892706734,0.019809691789851057
820,3152640,271,28.551617,1.4189385175704956,0.0025946928839402973,0.02049435405351687
840,3229440,272,28.633512,1.4189385175704956,0.0013295829805429094,1.3271497643007024
860,3306240,273,28.388195,1.4189385175704956,0.001291660608694656,2.6889825958453004
880,3383040,274,28.184992,1.4189385175704956,0.0025181981260175234,0.05728451745235361
900,3459840,275,28.43739,1.4189385175704956,0.0029908955839346163,1.3095103845240375
920,3536640,276,28.681097,1.4189385175704956,0.0004511917491527129,0.9514701691208757
940,3613440,277,28.683434,1.4189385175704956,-0.0008451438756310381,0.9390027666435344
960,3690240,277,28.499172,1.4189385175704956,0.002451060728571974,1.3359006744853104
980,3767040,278,28.519516,1.4189385175704956,0.0015152375510297134,1.1587854576326209
1000,3843840,279,28.520348,1.4189385175704956,0.0014708277376485057,0.6086832613087608
1020,3920640,279,27.99709,1.4189385175704956,0.0016794901821413077,0.21136041677673348
1040,3997440,280,28.907223,1.4189385175704956,0.003213242029596586,0.8735927549816551
1060,4074240,281,28.327864,1.4189385175704956,0.0005680583919456695,2.2314768793206894
1080,4151040,281,28.556456,1.4189385175704956,0.00148615005055035,0.023954643328033855
1100,4227840,282,28.730879,1.4189385175704956,0.0009265403559766128,0.4396664256884833
1120,4304640,283,27.985765,1.4189385175704956,0.0018827893498382764,0.04454743952665012
1140,4381440,283,28.214046,1.4189385175704956,0.0007807409492670558,1.2727335115720053
1160,4458240,284,28.698786,1.4189385175704956,0.0007738903441349976,0.9535250895889475
1180,4535040,284,28.518225,1.4189385175704956,0.003242651499022031,0.03781826205085963
1200,4611840,285,28.353716,1.4189385175704956,0.009790328827511985,2.481555819713685
1220,4688640,285,28.589565,1.4189385175704956,0.001622379705440835,0.7112356495505082
1240,4765440,286,28.537281,1.4189385175704956,0.003114317599829519,1.952554667100776
1260,4842240,286,27.70565,1.4189385175704956,0.0037076139087730553,1.8236237652701675
1280,4919040,287,27.705017,1.4189385175704956,0.0013171078182494967,2.9507779920648316
1300,4995840,287,28.451704,1.4189385175704956,0.0012990656803594902,0.022665099980076774
1320,5072640,288,27.928614,1.4189385175704956,0.0048388272392912764,4.439313088664494
1340,5149440,288,28.476286,1.4189385175704956,0.0015845722722588108,1.0211201251950115
1360,5226240,288,28.429476,1.4189385175704956,0.001554447808302939,0.047195211933285464
1380,5303040,289,28.51289,1.4189385175704956,-0.0009644410441978834,0.43828079287777655
1400,5379840,289,28.546465,1.4189385175704956,0.001676914758172643,0.025940464112500193
1420,5456640,289,28.624996,1.4189385175704956,0.002966867171926424,0.026530405708763284
1440,5533440,290,28.413996,1.4189385175704956,0.0015478685701964423,0.04189345328923082
1460,5610240,290,28.415104,1.4189385175704956,0.0010751735773737892,1.5974484658276196
1480,5687040,290,28.099129,1.4189385175704956,0.0030898407829226928,0.03916214275086531
1500,5763840,291,28.704489,1.4189385175704956,0.0038484800716105383,0.025842375912179704
1520,5840640,291,28.107836,1.4189385175704956,0.0006259645539103076,0.971253896849521
1540,5917440,291,28.06722,1.4189385175704956,0.004578707837572438,0.042317608755547555
1560,5994240,292,28.280014,1.4189385175704956,0.0003214026743080467,0.956710098774056
1580,6071040,292,28.365025,1.4189385175704956,0.0025233895525161643,0.04716029299597722
